     ELL          D_ELL            ERR
       I              E              E
               muKcmb^2       muKcmb^2
     521   8.706000E+00   1.559000E+00
     522   8.336000E+00   1.562000E+00
     523   7.107000E+00   1.566000E+00
     524   6.426000E+00   1.569000E+00
     525   6.699000E+00   1.573000E+00
     526   4.341000E+00   1.578000E+00
     527   4.606000E+00   1.582000E+00
     528   4.867000E+00   1.587000E+00
     529   9.391000E+00   1.592000E+00
     530   7.869000E+00   1.598000E+00
     531   6.644000E+00   1.604000E+00
     532   5.543000E+00   1.610000E+00
     533   7.736000E+00   1.616000E+00
     534   7.006000E+00   1.623000E+00
     535   7.152000E+00   1.630000E+00
     536   5.405000E+00   1.637000E+00
     537   4.958000E+00   1.645000E+00
     538   7.270000E+00   1.652000E+00
     539   5.907000E+00   1.661000E+00
     540   6.934000E+00   1.669000E+00
     541   9.201000E+00   1.678000E+00
     542   9.539000E+00   1.687000E+00
     543   6.747000E+00   1.696000E+00
     544   6.038000E+00   1.706000E+00
     545   1.077800E+01   1.716000E+00
     546   8.869000E+00   1.726000E+00
     547   8.703000E+00   1.737000E+00
     548   7.136000E+00   1.747000E+00
     549   8.924000E+00   1.758000E+00
     550   8.396000E+00   1.770000E+00
     551   8.166000E+00   1.782000E+00
     552   9.105000E+00   1.794000E+00
     553   1.025000E+01   1.806000E+00
     554   5.808000E+00   1.818000E+00
     555   6.183000E+00   1.831000E+00
     556   1.019700E+01   1.844000E+00
     557   6.957000E+00   1.858000E+00
     558   1.159100E+01   1.871000E+00
     559   1.189500E+01   1.885000E+00
     560   7.525000E+00   1.899000E+00
     561   9.904000E+00   1.914000E+00
     562   1.118800E+01   1.928000E+00
     563   8.500000E+00   1.943000E+00
     564   8.822000E+00   1.959000E+00
     565   9.028000E+00   1.974000E+00
     566   1.594100E+01   1.990000E+00
     567   1.102000E+01   2.006000E+00
     568   1.025000E+01   2.022000E+00
     569   1.120100E+01   2.039000E+00
     570   9.928000E+00   2.055000E+00
     571   1.325800E+01   2.072000E+00
     572   9.786000E+00   2.089000E+00
     573   1.072500E+01   2.107000E+00
     574   1.713900E+01   2.124000E+00
     575   1.538800E+01   2.142000E+00
     576   1.204100E+01   2.160000E+00
     577   1.267300E+01   2.179000E+00
     578   1.159400E+01   2.197000E+00
     579   1.556100E+01   2.216000E+00
     580   1.432100E+01   2.235000E+00
     581   1.814300E+01   2.254000E+00
     582   1.628600E+01   2.273000E+00
     583   1.410800E+01   2.292000E+00
     584   1.529700E+01   2.312000E+00
     585   1.750700E+01   2.332000E+00
     586   1.348600E+01   2.352000E+00
     587   1.404700E+01   2.372000E+00
     588   1.392100E+01   2.392000E+00
     589   1.524300E+01   2.412000E+00
     590   1.603600E+01   2.433000E+00
     591   1.273000E+01   2.454000E+00
     592   1.466900E+01   2.474000E+00
     593   1.672500E+01   2.495000E+00
     594   2.190100E+01   2.516000E+00
     595   1.730300E+01   2.537000E+00
     596   1.571800E+01   2.559000E+00
     597   1.714100E+01   2.580000E+00
     598   1.981500E+01   2.601000E+00
     599   2.034600E+01   2.623000E+00
     600   1.776300E+01   2.644000E+00
     601   2.291800E+01   2.666000E+00
     602   2.117100E+01   2.688000E+00
     603   1.822100E+01   2.709000E+00
     604   1.980500E+01   2.731000E+00
     605   2.104800E+01   2.753000E+00
     606   2.356900E+01   2.775000E+00
     607   2.572200E+01   2.797000E+00
     608   1.928200E+01   2.819000E+00
     609   2.126800E+01   2.841000E+00
     610   2.540100E+01   2.863000E+00
     611   1.913300E+01   2.885000E+00
     612   2.027700E+01   2.906000E+00
     613   2.470000E+01   2.928000E+00
     614   2.627600E+01   2.950000E+00
     615   2.380200E+01   2.972000E+00
     616   2.674100E+01   2.994000E+00
     617   2.484200E+01   3.016000E+00
     618   2.940400E+01   3.038000E+00
     619   2.162300E+01   3.059000E+00
     620   2.860000E+01   3.081000E+00
     621   3.038800E+01   3.102000E+00
     622   1.709800E+01   3.124000E+00
     623   2.713500E+01   3.145000E+00
     624   3.038400E+01   3.167000E+00
     625   2.877000E+01   3.188000E+00
     626   2.830500E+01   3.209000E+00
     627   2.889300E+01   3.230000E+00
     628   2.522700E+01   3.251000E+00
     629   2.702500E+01   3.272000E+00
     630   2.450400E+01   3.292000E+00
     631   2.726400E+01   3.313000E+00
     632   3.263600E+01   3.333000E+00
     633   3.079100E+01   3.353000E+00
     634   3.029900E+01   3.374000E+00
     635   3.080100E+01   3.393000E+00
     636   2.492700E+01   3.413000E+00
     637   2.709900E+01   3.433000E+00
     638   2.782700E+01   3.452000E+00
     639   3.997400E+01   3.471000E+00
     640   3.479500E+01   3.490000E+00
     641   3.351400E+01   3.509000E+00
     642   2.630300E+01   3.528000E+00
     643   3.230200E+01   3.546000E+00
     644   3.425500E+01   3.565000E+00
     645   3.377000E+01   3.583000E+00
     646   3.251300E+01   3.600000E+00
     647   3.034200E+01   3.618000E+00
     648   3.360100E+01   3.635000E+00
     649   3.396500E+01   3.652000E+00
     650   2.956700E+01   3.669000E+00
     651   3.366300E+01   3.686000E+00
     652   3.879800E+01   3.702000E+00
     653   3.294700E+01   3.719000E+00
     654   3.294500E+01   3.734000E+00
     655   3.697000E+01   3.750000E+00
     656   2.958400E+01   3.765000E+00
     657   2.684900E+01   3.781000E+00
     658   3.567700E+01   3.795000E+00
     659   3.088500E+01   3.810000E+00
     660   3.079600E+01   3.824000E+00
     661   3.509000E+01   3.838000E+00
